Dokument,Stamm,Typ,Sprache,Zuordnung,Auf_neuer_Site,URL,Endung
KORODUR_MICROTOP_SDB_de.pdf,korodur_microtop_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_MICROTOP_SDB_de.pdf,pdf
KORODUR_MICROTOP_TW_BM_SDB_de.pdf,korodur_microtop_tw_bm_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_MICROTOP_TW_BM_SDB_de.pdf,pdf
KORODUR_MICROTOP_TW_Mineral_SDB_de.pdf,korodur_microtop_tw_mineral_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_MICROTOP_TW_Mineral_SDB_de.pdf,pdf
KORODUR_Neodur_HE_2_SDB_fr.pdf,korodur_neodur_he_2_sdb,SDB/SDS,fr,(nur Mediathek),ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_Neodur_HE_2_SDB_fr.pdf,pdf
KORODUR_Neodur_HE_3_SDB_fr.pdf,korodur_neodur_he_3_sdb,SDB/SDS,fr,Fiches de données de sécurité [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_Neodur_HE_3_SDB_fr.pdf,pdf
KORODUR_NEODUR_Level_AU_SDB_de.pdf,korodur_neodur_level_au_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_NEODUR_Level_AU_SDB_de.pdf,pdf
KORODUR_NEODUR_Pflasterfugenmoertel_SDB_de.pdf,korodur_neodur_pflasterfugenmoertel_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_NEODUR_Pflasterfugenmoertel_SDB_de.pdf,pdf
KORODUR_NEODUR_Vergussmoertel_SDB_de.pdf,korodur_neodur_vergussmoertel_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_NEODUR_Vergussmoertel_SDB_de.pdf,pdf
KORODUR_PC_SDB_de.pdf,korodur_pc_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_PC_SDB_de.pdf,pdf
KORODUR_PC_SDB_en.pdf,korodur_pc_sdb,SDB/SDS,en,Material safety data sheets [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_PC_SDB_en.pdf,pdf
KORODUR_PC_SDB_fr.pdf,korodur_pc_sdb,SDB/SDS,fr,Fiches de données de sécurité [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_PC_SDB_fr.pdf,pdf
KORODUR_Pflasterfugenmoertel_Haerterkomponente_SDB_de.pdf,korodur_pflasterfugenmoertel_haerterkomponente_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_Pflasterfugenmoertel_Haerterkomponente_SDB_de.pdf,pdf
KORODUR_Pflasterfugenmoertel_Harzkomponente_SDB_de.pdf,korodur_pflasterfugenmoertel_harzkomponente_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_Pflasterfugenmoertel_Harzkomponente_SDB_de.pdf,pdf
KORODUR_Rapid_Set_FAST_SDB_de.pdf,korodur_rapid_set_fast_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_Rapid_Set_FAST_SDB_de.pdf,pdf
KORODUR_Rapid_Set_FLOW_Control_SDB_de.pdf,korodur_rapid_set_flow_control_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_Rapid_Set_FLOW_Control_SDB_de.pdf,pdf
KORODUR_Rapid_Set_SDB_de.pdf,korodur_rapid_set_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_Rapid_Set_SDB_de.pdf,pdf
KORODUR_Rapid_Set_SET_Control_SDB_de.pdf,korodur_rapid_set_set_control_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_Rapid_Set_SET_Control_SDB_de.pdf,pdf
KORODUR_TRU_PC_SDB_de.pdf,korodur_tru_pc_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_TRU_PC_SDB_de.pdf,pdf
KORODUR_TXPK_comp_A_SDB_fr.pdf,korodur_txpk_comp_a_sdb,SDB/SDS,fr,Fiches de données de sécurité [page],nein,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_TXPK_comp_A_SDB_fr.pdf,pdf
